epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1162.37,1.1922,1.02963,1.30916,0.67473,0.63132,0.70081,0.43723,1.34205,1.15519,1.41299,0.001472,0.001472,0.001472
66,1180.08,1.22282,1.03492,1.3216,0.72796,0.60167,0.70908,0.45158,1.31732,1.11723,1.36234,0.00146375,0.00146375,0.00146375
67,1197.83,1.20781,1.03686,1.30852,0.66689,0.69068,0.72054,0.45095,1.31684,1.12727,1.38147,0.0014555,0.0014555,0.0014555
68,1215.6,1.19199,1.00838,1.30553,0.66867,0.64596,0.70456,0.44558,1.34381,1.12909,1.38595,0.00144725,0.00144725,0.00144725
69,1233.32,1.20401,1.02906,1.31519,0.68213,0.61045,0.68912,0.43097,1.34427,1.14999,1.386,0.001439,0.001439,0.001439
70,1251.14,1.20287,1.01799,1.30818,0.67881,0.62484,0.69267,0.43664,1.36828,1.14362,1.41594,0.00143075,0.00143075,0.00143075
71,1268.76,1.2067,1.0183,1.32006,0.69042,0.63166,0.70477,0.44608,1.3274,1.12925,1.38912,0.0014225,0.0014225,0.0014225
72,1286.39,1.19848,1.01283,1.31037,0.66948,0.63354,0.69352,0.43289,1.35701,1.14401,1.41725,0.00141425,0.00141425,0.00141425
73,1304.2,1.19536,1.00806,1.30198,0.66901,0.65283,0.70318,0.44781,1.33052,1.10395,1.38052,0.001406,0.001406,0.001406
74,1322,1.19006,0.99474,1.30337,0.67991,0.67205,0.70465,0.44831,1.32276,1.11768,1.38021,0.00139775,0.00139775,0.00139775
75,1339.77,1.20236,0.99873,1.30817,0.65988,0.65093,0.69206,0.44285,1.32073,1.15311,1.37252,0.0013895,0.0013895,0.0013895
76,1357.44,1.17878,0.98109,1.30063,0.67643,0.64472,0.71118,0.452,1.33861,1.13441,1.38246,0.00138125,0.00138125,0.00138125
77,1375.36,1.18375,0.99207,1.29963,0.64695,0.6647,0.69084,0.43745,1.35538,1.15029,1.39678,0.001373,0.001373,0.001373
78,1393.2,1.19044,0.99868,1.30626,0.6499,0.6572,0.69497,0.44172,1.34787,1.11089,1.3949,0.00136475,0.00136475,0.00136475
79,1410.99,1.2019,1.0076,1.31151,0.67593,0.63975,0.70527,0.44449,1.34978,1.15908,1.39221,0.0013565,0.0013565,0.0013565
80,1428.78,1.18295,0.97514,1.29611,0.6841,0.67329,0.71932,0.45596,1.34681,1.08989,1.39199,0.00134825,0.00134825,0.00134825
81,1446.86,1.18219,0.99166,1.30398,0.65636,0.63588,0.6893,0.44097,1.34005,1.10639,1.39225,0.00134,0.00134,0.00134
82,1464.65,1.19354,1.004,1.30295,0.72281,0.61615,0.70213,0.44856,1.35343,1.14017,1.39193,0.00133175,0.00133175,0.00133175
83,1482.6,1.17887,0.97092,1.28471,0.65726,0.65986,0.71192,0.45578,1.32815,1.09985,1.37631,0.0013235,0.0013235,0.0013235
84,1500.41,1.16096,0.97343,1.28607,0.67003,0.64472,0.70081,0.45355,1.32994,1.0972,1.37362,0.00131525,0.00131525,0.00131525
85,1518.26,1.16133,0.97367,1.28937,0.66367,0.64713,0.70386,0.44775,1.32645,1.08518,1.37656,0.001307,0.001307,0.001307
86,1536.16,1.16756,0.96339,1.2884,0.666,0.66832,0.70389,0.45157,1.32549,1.09309,1.38132,0.00129875,0.00129875,0.00129875
87,1553.87,1.16929,0.97696,1.28811,0.69733,0.6236,0.70515,0.45114,1.35388,1.1025,1.39488,0.0012905,0.0012905,0.0012905
88,1571.77,1.16906,0.95915,1.28511,0.70105,0.61757,0.70413,0.44576,1.35883,1.10603,1.39543,0.00128225,0.00128225,0.00128225
89,1589.52,1.16505,0.94837,1.29019,0.68314,0.63975,0.70769,0.44984,1.31609,1.07861,1.38727,0.001274,0.001274,0.001274
90,1607.24,1.16576,0.97214,1.28399,0.68394,0.66129,0.7132,0.44806,1.34231,1.08398,1.3808,0.00126575,0.00126575,0.00126575
91,1625.03,1.16962,0.96504,1.28698,0.70085,0.64099,0.71079,0.45111,1.33723,1.09068,1.37525,0.0012575,0.0012575,0.0012575
92,1643.02,1.14869,0.94542,1.2752,0.64813,0.67081,0.70816,0.45176,1.32674,1.11821,1.37236,0.00124925,0.00124925,0.00124925
93,1660.79,1.15233,0.94627,1.28248,0.69779,0.65714,0.72082,0.46497,1.32013,1.04712,1.37105,0.001241,0.001241,0.001241
94,1678.66,1.17423,0.95305,1.2742,0.69428,0.66708,0.71815,0.45804,1.32185,1.05559,1.36573,0.00123275,0.00123275,0.00123275
95,1696.41,1.15994,0.96183,1.27912,0.66866,0.66335,0.71988,0.4579,1.33224,1.06051,1.37455,0.0012245,0.0012245,0.0012245
