epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3497.2,1.1521,0.934,1.32913,0.68126,0.63851,0.69782,0.44798,1.33921,1.10109,1.49244,0.001406,0.001406,0.001406
74,3545.02,1.14109,0.91886,1.32591,0.6456,0.66832,0.69634,0.43938,1.34074,1.1087,1.48925,0.00139775,0.00139775,0.00139775
75,3593.94,1.15829,0.94522,1.33847,0.64001,0.67578,0.70511,0.45676,1.3161,1.09594,1.46781,0.0013895,0.0013895,0.0013895
76,3641.8,1.13346,0.92521,1.32389,0.64792,0.6559,0.7144,0.44881,1.35472,1.09042,1.50512,0.00138125,0.00138125,0.00138125
77,3689.6,1.13471,0.92476,1.32165,0.68347,0.62112,0.7009,0.44173,1.32409,1.16847,1.47205,0.001373,0.001373,0.001373
78,3737.4,1.13707,0.92604,1.32635,0.64877,0.67081,0.71123,0.44555,1.33924,1.09813,1.48913,0.00136475,0.00136475,0.00136475
79,3785.21,1.14827,0.93582,1.33071,0.64891,0.68199,0.70904,0.45383,1.3495,1.10098,1.4843,0.0013565,0.0013565,0.0013565
80,3832.99,1.12177,0.89669,1.30683,0.70828,0.63106,0.7149,0.45225,1.32883,1.11511,1.47379,0.00134825,0.00134825,0.00134825
81,3880.73,1.13089,0.91211,1.32256,0.69423,0.64596,0.72391,0.45603,1.35262,1.05039,1.48719,0.00134,0.00134,0.00134
82,3928.59,1.14057,0.91562,1.32069,0.68536,0.6559,0.72336,0.45495,1.34786,1.0583,1.49767,0.00133175,0.00133175,0.00133175
83,3976.39,1.12444,0.89884,1.3077,0.66023,0.67205,0.71807,0.4578,1.32609,1.11532,1.4743,0.0013235,0.0013235,0.0013235
84,4024.19,1.10692,0.89409,1.30183,0.66323,0.64224,0.71118,0.45182,1.34148,1.10412,1.48364,0.00131525,0.00131525,0.00131525
85,4072.15,1.11132,0.89716,1.30855,0.67872,0.65342,0.71473,0.45746,1.3392,1.113,1.496,0.001307,0.001307,0.001307
86,4119.88,1.11583,0.89333,1.30565,0.67844,0.64969,0.71911,0.46204,1.34032,1.08668,1.49056,0.00129875,0.00129875,0.00129875
87,4167.81,1.11335,0.89724,1.30464,0.6729,0.66087,0.70862,0.45474,1.31525,1.07948,1.47709,0.0012905,0.0012905,0.0012905
88,4215.57,1.11791,0.8843,1.2979,0.62732,0.69005,0.71538,0.4532,1.33156,1.12544,1.4621,0.00128225,0.00128225,0.00128225
89,4263.24,1.11773,0.87207,1.3117,0.72147,0.61781,0.71693,0.44765,1.33235,1.05848,1.48077,0.001274,0.001274,0.001274
90,4310.88,1.10685,0.8954,1.30103,0.68045,0.66708,0.72538,0.45195,1.32878,1.05155,1.48312,0.00126575,0.00126575,0.00126575
91,4358.74,1.10925,0.88847,1.30074,0.62751,0.69193,0.70663,0.45358,1.31298,1.08043,1.45959,0.0012575,0.0012575,0.0012575
92,4406.53,1.09148,0.87142,1.29064,0.69293,0.66211,0.72095,0.45433,1.34184,1.06901,1.48741,0.00124925,0.00124925,0.00124925
93,4454.25,1.10003,0.86773,1.29962,0.69342,0.65748,0.7214,0.45969,1.335,1.05069,1.48095,0.001241,0.001241,0.001241
94,4502.06,1.11163,0.8708,1.29453,0.66689,0.66957,0.71276,0.45719,1.32048,1.07156,1.46307,0.00123275,0.00123275,0.00123275
95,4549.86,1.09952,0.88044,1.29497,0.63759,0.69193,0.72456,0.46569,1.32285,1.03902,1.4713,0.0012245,0.0012245,0.0012245
96,4597.68,1.09783,0.86896,1.2973,0.66486,0.67771,0.72379,0.46018,1.3193,1.05766,1.46496,0.00121625,0.00121625,0.00121625
97,4645.45,1.09026,0.86593,1.29326,0.72023,0.62679,0.72364,0.46092,1.31391,1.02054,1.47048,0.001208,0.001208,0.001208
98,4693.22,1.08212,0.85534,1.28223,0.69369,0.65547,0.72452,0.46481,1.31876,1.06116,1.45463,0.00119975,0.00119975,0.00119975
99,4740.98,1.08796,0.85822,1.28962,0.68128,0.66087,0.73148,0.47255,1.30939,1.0285,1.45557,0.0011915,0.0011915,0.0011915
100,4788.87,1.08871,0.86019,1.28668,0.69216,0.63124,0.71853,0.46074,1.3234,1.06187,1.47209,0.00118325,0.00118325,0.00118325
101,4836.53,1.09676,0.87149,1.29292,0.6915,0.6472,0.72873,0.46124,1.33055,1.06784,1.46417,0.001175,0.001175,0.001175
102,4884.32,1.08213,0.85678,1.27726,0.67346,0.66867,0.72225,0.4643,1.34651,1.09226,1.49993,0.00116675,0.00116675,0.00116675
103,4932.03,1.0874,0.84317,1.2802,0.70836,0.67329,0.73538,0.4659,1.33888,1.04057,1.48739,0.0011585,0.0011585,0.0011585
104,4979.73,1.08934,0.83537,1.27928,0.70561,0.65963,0.74298,0.48189,1.32667,1.01782,1.47253,0.00115025,0.00115025,0.00115025
105,5027.58,1.07032,0.82436,1.26793,0.7029,0.6559,0.7255,0.46181,1.33845,1.07425,1.47554,0.001142,0.001142,0.001142
