epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1855.13,1.13918,0.91823,1.27276,0.67265,0.68153,0.71374,0.45626,1.3298,1.07573,1.4019,0.00139775,0.00139775,0.00139775
75,1880.14,1.15382,0.9389,1.283,0.6805,0.64294,0.69566,0.44291,1.32635,1.13198,1.39595,0.0013895,0.0013895,0.0013895
76,1905.1,1.13002,0.90848,1.27683,0.65156,0.6882,0.72176,0.46487,1.31982,1.08083,1.39849,0.00138125,0.00138125,0.00138125
77,1930.2,1.14267,0.93297,1.28108,0.65408,0.65062,0.70387,0.45083,1.3422,1.09857,1.40125,0.001373,0.001373,0.001373
78,1955.13,1.14046,0.92524,1.27526,0.65415,0.6646,0.7084,0.45153,1.32517,1.08309,1.39469,0.00136475,0.00136475,0.00136475
79,1980.16,1.14986,0.93343,1.28475,0.65154,0.6882,0.71387,0.45771,1.33045,1.06502,1.40879,0.0013565,0.0013565,0.0013565
80,2005.1,1.1365,0.90715,1.26901,0.75666,0.63106,0.72229,0.45959,1.32434,1.05952,1.38951,0.00134825,0.00134825,0.00134825
81,2030.07,1.13007,0.92313,1.27368,0.64819,0.65688,0.69956,0.44327,1.34015,1.0981,1.39815,0.00134,0.00134,0.00134
82,2055.01,1.14456,0.92437,1.27372,0.69098,0.63331,0.71243,0.45205,1.32808,1.08953,1.40983,0.00133175,0.00133175,0.00133175
83,2080.03,1.12096,0.90174,1.25697,0.66837,0.65466,0.712,0.45233,1.3426,1.06874,1.40595,0.0013235,0.0013235,0.0013235
84,2105.07,1.10973,0.89719,1.25821,0.66922,0.66708,0.72455,0.47048,1.32098,1.04084,1.39824,0.00131525,0.00131525,0.00131525
85,2130.04,1.11071,0.89322,1.26115,0.65991,0.66584,0.70734,0.45144,1.33792,1.10609,1.41366,0.001307,0.001307,0.001307
86,2155.14,1.11718,0.88587,1.25693,0.63174,0.66915,0.70365,0.45542,1.32268,1.11638,1.39355,0.00129875,0.00129875,0.00129875
87,2180.21,1.12327,0.89984,1.26111,0.68337,0.65466,0.70433,0.45557,1.33142,1.07022,1.39235,0.0012905,0.0012905,0.0012905
88,2205.29,1.12293,0.88159,1.25704,0.625,0.67496,0.70689,0.44986,1.34599,1.10333,1.40378,0.00128225,0.00128225,0.00128225
89,2230.34,1.11179,0.87561,1.26423,0.74308,0.62484,0.72456,0.46295,1.32726,1.03317,1.41442,0.001274,0.001274,0.001274
90,2255.44,1.11634,0.89425,1.26011,0.65643,0.68075,0.71484,0.45241,1.3272,1.07077,1.39344,0.00126575,0.00126575,0.00126575
91,2280.49,1.11603,0.88483,1.2579,0.68255,0.65704,0.70939,0.45566,1.31089,1.08065,1.37506,0.0012575,0.0012575,0.0012575
92,2305.57,1.09507,0.86693,1.24427,0.68751,0.64596,0.70909,0.45463,1.34448,1.07387,1.40994,0.00124925,0.00124925,0.00124925
93,2330.6,1.10668,0.87034,1.25727,0.70228,0.63587,0.71234,0.45984,1.31998,1.02736,1.4116,0.001241,0.001241,0.001241
94,2355.68,1.12319,0.87843,1.24901,0.66691,0.6646,0.71004,0.4481,1.33408,1.06759,1.39908,0.00123275,0.00123275,0.00123275
95,2380.72,1.11055,0.8816,1.25488,0.66275,0.68447,0.72955,0.46139,1.33758,1.0684,1.38445,0.0012245,0.0012245,0.0012245
96,2405.9,1.10519,0.87716,1.25353,0.66978,0.66708,0.71378,0.46258,1.31216,1.08126,1.37323,0.00121625,0.00121625,0.00121625
97,2430.99,1.09809,0.87533,1.24708,0.66723,0.6725,0.71327,0.45773,1.32851,1.07651,1.39151,0.001208,0.001208,0.001208
98,2456.15,1.08901,0.85929,1.24331,0.67051,0.67453,0.72706,0.46462,1.33605,1.03075,1.38925,0.00119975,0.00119975,0.00119975
99,2481.21,1.09457,0.86098,1.24584,0.66609,0.67081,0.71264,0.45512,1.33932,1.07864,1.39985,0.0011915,0.0011915,0.0011915
100,2506.35,1.09248,0.85963,1.24196,0.6994,0.63585,0.71514,0.46083,1.31801,1.03343,1.37662,0.00118325,0.00118325,0.00118325
101,2531.47,1.09692,0.85669,1.24159,0.71897,0.63106,0.70968,0.45063,1.34954,1.04383,1.40231,0.001175,0.001175,0.001175
102,2556.65,1.08935,0.84923,1.23508,0.65684,0.68243,0.72108,0.46156,1.31797,1.07167,1.3738,0.00116675,0.00116675,0.00116675
103,2581.71,1.09429,0.84475,1.23821,0.71179,0.6236,0.71172,0.45492,1.34839,1.06767,1.39386,0.0011585,0.0011585,0.0011585
104,2606.78,1.1029,0.84447,1.24194,0.70699,0.64845,0.73108,0.46651,1.30669,1.03446,1.37399,0.00115025,0.00115025,0.00115025
